date,station_name_as_reported,generation_mu,month_cumulative_mu,source_daily_average_mu,reported_maximum_output_mw,reported_maximum_output_time,planned_shutdown_reported,forced_shutdown_reported,machines_available_reported,mp_reported,ep_reported,classification,source_sha256
2024-04-01,Idukki,6.47,6.47,6.47,610,22,1,,5,2,5,official_observed_reference,639f65d845161859ef54c427426c2bac2ccff6c3b7b53c2c09b31973bc2b805e
2024-04-01,Sabarigiri,5.3936,5.3936,5.3936,301.6,2,,,6,6,6,official_observed_reference,639f65d845161859ef54c427426c2bac2ccff6c3b7b53c2c09b31973bc2b805e
2024-04-01,Idamalayar,0.9157,0.9157,0.9157,62,,,,2,1,2,official_observed_reference,639f65d845161859ef54c427426c2bac2ccff6c3b7b53c2c09b31973bc2b805e
2024-04-01,Sholayar,0.9151,0.9151,0.9151,54.4,20,,,3,2,3,official_observed_reference,639f65d845161859ef54c427426c2bac2ccff6c3b7b53c2c09b31973bc2b805e
2024-04-01,Pallivasal,0.481,0.481,0.481,20.4,23,,2,4,4,4,official_observed_reference,639f65d845161859ef54c427426c2bac2ccff6c3b7b53c2c09b31973bc2b805e
2024-04-01,Kuttiadi,1.8222,1.8222,1.8222,193.4,21,1,,5,,5,official_observed_reference,639f65d845161859ef54c427426c2bac2ccff6c3b7b53c2c09b31973bc2b805e
2024-04-01,Panniar,0.4613,0.4613,0.4613,30.6,2,,,2,,2,official_observed_reference,639f65d845161859ef54c427426c2bac2ccff6c3b7b53c2c09b31973bc2b805e
2024-04-01,Neriamangalam,0.4396,0.4396,0.4396,75.2,23,,,4,,2,official_observed_reference,639f65d845161859ef54c427426c2bac2ccff6c3b7b53c2c09b31973bc2b805e
2024-04-01,Lower Periyar,0.441,0.441,0.441,164,23,,,3,,,official_observed_reference,639f65d845161859ef54c427426c2bac2ccff6c3b7b53c2c09b31973bc2b805e
2024-04-01,"Poringalkuthu, PLBE",0.3587,0.3587,0.3587,42.86,22,1,,5,1,1,official_observed_reference,639f65d845161859ef54c427426c2bac2ccff6c3b7b53c2c09b31973bc2b805e
2024-04-01,Sengulam,0.32,0.32,0.32,51.2,22,,,4,,4,official_observed_reference,639f65d845161859ef54c427426c2bac2ccff6c3b7b53c2c09b31973bc2b805e
2024-04-01,Kakkad,0.7337,0.7337,0.7337,36.56,6,,,2,2,2,official_observed_reference,639f65d845161859ef54c427426c2bac2ccff6c3b7b53c2c09b31973bc2b805e
2024-04-01,Kallada,0.2031,0.2031,0.2031,12.4,5,,,2,2,2,official_observed_reference,639f65d845161859ef54c427426c2bac2ccff6c3b7b53c2c09b31973bc2b805e
2024-04-01,Malankara,0.0785,0.0785,0.0785,4.5,21,,,2,2,2,official_observed_reference,639f65d845161859ef54c427426c2bac2ccff6c3b7b53c2c09b31973bc2b805e
2024-04-01,Maniyar,0.0858,0.0858,0.0858,,,,,3,2,2,official_observed_reference,639f65d845161859ef54c427426c2bac2ccff6c3b7b53c2c09b31973bc2b805e
2024-04-01,Kuthungal,0.2174,0.2174,0.2174,14.2,7,,,3,1,2,official_observed_reference,639f65d845161859ef54c427426c2bac2ccff6c3b7b53c2c09b31973bc2b805e
2024-04-02,Idukki,7.997,14.467,7.2335,604,2,1,,5,3,5,official_observed_reference,f30fab34482757e7387789fcb6b3f15478d06dff9df4e355ab0f1fd1f0747819
2024-04-02,Sabarigiri,5.5354,10.929,5.4645,305.6,23,,,6,5,6,official_observed_reference,f30fab34482757e7387789fcb6b3f15478d06dff9df4e355ab0f1fd1f0747819
2024-04-02,Idamalayar,1.3248,2.2405,1.1203,62.4,3,,,2,2,2,official_observed_reference,f30fab34482757e7387789fcb6b3f15478d06dff9df4e355ab0f1fd1f0747819
2024-04-02,Sholayar,1.0328,1.9479,0.974,54.4,,,,3,2,3,official_observed_reference,f30fab34482757e7387789fcb6b3f15478d06dff9df4e355ab0f1fd1f0747819
2024-04-02,Pallivasal,0.4831,0.9641,0.4821,20.4,11,,2,4,4,4,official_observed_reference,f30fab34482757e7387789fcb6b3f15478d06dff9df4e355ab0f1fd1f0747819
2024-04-02,Kuttiadi,1.6599,3.4821,1.7411,194,22,1,,5,,5,official_observed_reference,f30fab34482757e7387789fcb6b3f15478d06dff9df4e355ab0f1fd1f0747819
2024-04-02,Panniar,0.3872,0.8485,0.4243,31,17,,,2,,2,official_observed_reference,f30fab34482757e7387789fcb6b3f15478d06dff9df4e355ab0f1fd1f0747819
2024-04-02,Neriamangalam,0.4483,0.8879,0.444,75.4,22,,,4,,2,official_observed_reference,f30fab34482757e7387789fcb6b3f15478d06dff9df4e355ab0f1fd1f0747819
2024-04-02,Lower Periyar,0.455,0.896,0.448,160,22,,,3,,,official_observed_reference,f30fab34482757e7387789fcb6b3f15478d06dff9df4e355ab0f1fd1f0747819
2024-04-02,"Poringalkuthu, PLBE",0.3507,0.7093,0.3547,51.84,22,1,,5,1,1,official_observed_reference,f30fab34482757e7387789fcb6b3f15478d06dff9df4e355ab0f1fd1f0747819
2024-04-02,Sengulam,0.327,0.647,0.3235,50.4,21,,,4,,4,official_observed_reference,f30fab34482757e7387789fcb6b3f15478d06dff9df4e355ab0f1fd1f0747819
2024-04-02,Kakkad,0.7257,1.4594,0.7297,35.68,,,,2,2,2,official_observed_reference,f30fab34482757e7387789fcb6b3f15478d06dff9df4e355ab0f1fd1f0747819
2024-04-02,Kallada,0.2026,0.4057,0.2029,12.2,6,,,2,1,2,official_observed_reference,f30fab34482757e7387789fcb6b3f15478d06dff9df4e355ab0f1fd1f0747819
2024-04-02,Malankara,0.112,0.1904,0.0952,5.4,13,,,2,2,2,official_observed_reference,f30fab34482757e7387789fcb6b3f15478d06dff9df4e355ab0f1fd1f0747819
2024-04-02,Maniyar,0.0671,0.1529,0.0765,,,,,3,1,2,official_observed_reference,f30fab34482757e7387789fcb6b3f15478d06dff9df4e355ab0f1fd1f0747819
2024-04-02,Kuthungal,0.218,0.4354,0.2177,14.4,18,,,3,2,2,official_observed_reference,f30fab34482757e7387789fcb6b3f15478d06dff9df4e355ab0f1fd1f0747819
2024-04-03,Idukki,8.876,23.343,7.781,610,23,,1,5,3,5,official_observed_reference,3491f21da2494d7a16e66ca74fac544b6b6c2102be641ef7940bc0840e007512
2024-04-03,Sabarigiri,5.4651,16.3941,5.4647,301,,,,6,6,6,official_observed_reference,3491f21da2494d7a16e66ca74fac544b6b6c2102be641ef7940bc0840e007512
2024-04-03,Idamalayar,1.0969,3.3374,1.1125,62.4,16,,,2,2,2,official_observed_reference,3491f21da2494d7a16e66ca74fac544b6b6c2102be641ef7940bc0840e007512
2024-04-03,Sholayar,0.8688,2.8167,0.9389,54.4,,,,3,2,3,official_observed_reference,3491f21da2494d7a16e66ca74fac544b6b6c2102be641ef7940bc0840e007512
2024-04-03,Pallivasal,0.485,1.4491,0.483,20.4,2,,2,4,4,4,official_observed_reference,3491f21da2494d7a16e66ca74fac544b6b6c2102be641ef7940bc0840e007512
2024-04-03,Kuttiadi,1.9551,5.4372,1.8124,193.8,23,1,,5,,5,official_observed_reference,3491f21da2494d7a16e66ca74fac544b6b6c2102be641ef7940bc0840e007512
2024-04-03,Panniar,0.3801,1.2286,0.4095,30.6,1,,,2,,2,official_observed_reference,3491f21da2494d7a16e66ca74fac544b6b6c2102be641ef7940bc0840e007512
2024-04-03,Neriamangalam,0.4006,1.2885,0.4295,75.2,,,,4,,3,official_observed_reference,3491f21da2494d7a16e66ca74fac544b6b6c2102be641ef7940bc0840e007512
2024-04-03,Lower Periyar,0.726,1.622,0.5407,160,,,,3,,2,official_observed_reference,3491f21da2494d7a16e66ca74fac544b6b6c2102be641ef7940bc0840e007512
2024-04-03,"Poringalkuthu, PLBE",0.4138,1.1231,0.3744,51.78,,,,6,1,2,official_observed_reference,3491f21da2494d7a16e66ca74fac544b6b6c2102be641ef7940bc0840e007512
2024-04-03,Sengulam,0.3319,0.9789,0.3263,51.2,21,,,4,,4,official_observed_reference,3491f21da2494d7a16e66ca74fac544b6b6c2102be641ef7940bc0840e007512
2024-04-03,Kakkad,0.7571,2.2165,0.7388,37,3,,,2,2,2,official_observed_reference,3491f21da2494d7a16e66ca74fac544b6b6c2102be641ef7940bc0840e007512
2024-04-03,Kallada,0.196,0.6017,0.2006,12.2,6,,,2,2,2,official_observed_reference,3491f21da2494d7a16e66ca74fac544b6b6c2102be641ef7940bc0840e007512
2024-04-03,Malankara,0.1164,0.3068,0.1023,5.55,6,,,2,2,2,official_observed_reference,3491f21da2494d7a16e66ca74fac544b6b6c2102be641ef7940bc0840e007512
2024-04-03,Maniyar,0.0699,0.2228,0.0743,,,,,3,2,2,official_observed_reference,3491f21da2494d7a16e66ca74fac544b6b6c2102be641ef7940bc0840e007512
2024-04-03,Kuthungal,0.2125,0.6479,0.216,13,8,,,3,2,2,official_observed_reference,3491f21da2494d7a16e66ca74fac544b6b6c2102be641ef7940bc0840e007512
2024-04-04,Idukki,9.555,32.898,8.2245,634,22,,1,5,5,5,official_observed_reference,a6a3733ac9b9b590d31808be27ff7d92ef2ee85ef43b8dd6eaa17eb3954cb4df
2024-04-04,Sabarigiri,6.004,22.3981,5.5995,303.2,23,,,6,6,6,official_observed_reference,a6a3733ac9b9b590d31808be27ff7d92ef2ee85ef43b8dd6eaa17eb3954cb4df
2024-04-04,Idamalayar,1.2438,4.5812,1.1453,61.2,6,,,2,2,2,official_observed_reference,a6a3733ac9b9b590d31808be27ff7d92ef2ee85ef43b8dd6eaa17eb3954cb4df
2024-04-04,Sholayar,0.8354,3.6521,0.913,54.6,20,,,3,2,3,official_observed_reference,a6a3733ac9b9b590d31808be27ff7d92ef2ee85ef43b8dd6eaa17eb3954cb4df
2024-04-04,Pallivasal,0.4854,1.9345,0.4836,20.4,6,,2,4,4,4,official_observed_reference,a6a3733ac9b9b590d31808be27ff7d92ef2ee85ef43b8dd6eaa17eb3954cb4df
2024-04-04,Kuttiadi,2.3524,7.7896,1.9474,190,16,1,,5,,5,official_observed_reference,a6a3733ac9b9b590d31808be27ff7d92ef2ee85ef43b8dd6eaa17eb3954cb4df
2024-04-04,Panniar,0.4125,1.6411,0.4103,30.6,,,,2,,2,official_observed_reference,a6a3733ac9b9b590d31808be27ff7d92ef2ee85ef43b8dd6eaa17eb3954cb4df
2024-04-04,Neriamangalam,0.5257,1.8142,0.4536,60.6,21,,,4,,3,official_observed_reference,a6a3733ac9b9b590d31808be27ff7d92ef2ee85ef43b8dd6eaa17eb3954cb4df
2024-04-04,Lower Periyar,0.695,2.317,0.5793,158,22,,,3,,3,official_observed_reference,a6a3733ac9b9b590d31808be27ff7d92ef2ee85ef43b8dd6eaa17eb3954cb4df
2024-04-04,"Poringalkuthu, PLBE",0.4957,1.6188,0.4047,51.72,,,,6,1,5,official_observed_reference,a6a3733ac9b9b590d31808be27ff7d92ef2ee85ef43b8dd6eaa17eb3954cb4df
2024-04-04,Sengulam,0.2959,1.2748,0.3187,51.4,19,,,4,,4,official_observed_reference,a6a3733ac9b9b590d31808be27ff7d92ef2ee85ef43b8dd6eaa17eb3954cb4df
2024-04-04,Kakkad,0.8024,3.0189,0.7547,36.4,7,,,2,2,2,official_observed_reference,a6a3733ac9b9b590d31808be27ff7d92ef2ee85ef43b8dd6eaa17eb3954cb4df
2024-04-04,Kallada,0.1988,0.8005,0.2001,12.6,17,,,2,2,2,official_observed_reference,a6a3733ac9b9b590d31808be27ff7d92ef2ee85ef43b8dd6eaa17eb3954cb4df
2024-04-04,Malankara,0.1139,0.4208,0.1052,5.55,2,,,2,2,2,official_observed_reference,a6a3733ac9b9b590d31808be27ff7d92ef2ee85ef43b8dd6eaa17eb3954cb4df
2024-04-04,Maniyar,0.0872,0.31,0.0775,,,,,3,2,2,official_observed_reference,a6a3733ac9b9b590d31808be27ff7d92ef2ee85ef43b8dd6eaa17eb3954cb4df
2024-04-04,Kuthungal,0.1972,0.8451,0.2113,8.8,,,,3,2,2,official_observed_reference,a6a3733ac9b9b590d31808be27ff7d92ef2ee85ef43b8dd6eaa17eb3954cb4df
2024-04-05,Idukki,9.91,42.808,8.5616,618,,,1,5,4,5,official_observed_reference,a2d60470b4237965d7090561348f280c7789806f672472d841f5d939c319de84
2024-04-05,Sabarigiri,6.2252,28.6233,5.7247,309.2,5,,,6,6,6,official_observed_reference,a2d60470b4237965d7090561348f280c7789806f672472d841f5d939c319de84
2024-04-05,Idamalayar,1.1405,5.7217,1.1443,61.6,22,,,2,2,2,official_observed_reference,a2d60470b4237965d7090561348f280c7789806f672472d841f5d939c319de84
2024-04-05,Sholayar,0.844,4.4961,0.8992,54.4,20,,,3,2,3,official_observed_reference,a2d60470b4237965d7090561348f280c7789806f672472d841f5d939c319de84
2024-04-05,Pallivasal,0.4853,2.4198,0.484,20.4,8,,2,4,4,4,official_observed_reference,a2d60470b4237965d7090561348f280c7789806f672472d841f5d939c319de84
2024-04-05,Kuttiadi,1.9265,9.7161,1.9432,192.2,22,1,,5,,5,official_observed_reference,a2d60470b4237965d7090561348f280c7789806f672472d841f5d939c319de84
2024-04-05,Panniar,0.6332,2.2743,0.4549,30.6,15,,,2,1,2,official_observed_reference,a2d60470b4237965d7090561348f280c7789806f672472d841f5d939c319de84
2024-04-05,Neriamangalam,0.6629,2.4771,0.4954,61,20,,,4,,3,official_observed_reference,a2d60470b4237965d7090561348f280c7789806f672472d841f5d939c319de84
2024-04-05,Lower Periyar,0.774,3.091,0.6182,152,22,,,3,,3,official_observed_reference,a2d60470b4237965d7090561348f280c7789806f672472d841f5d939c319de84
2024-04-05,"Poringalkuthu, PLBE",0.5212,2.14,0.428,51.52,23,,,6,1,6,official_observed_reference,a2d60470b4237965d7090561348f280c7789806f672472d841f5d939c319de84
2024-04-05,Sengulam,0.3609,1.6357,0.3271,51.4,22,,,4,,4,official_observed_reference,a2d60470b4237965d7090561348f280c7789806f672472d841f5d939c319de84
2024-04-05,Kakkad,0.8476,3.8665,0.7733,36.24,6,,,2,2,2,official_observed_reference,a2d60470b4237965d7090561348f280c7789806f672472d841f5d939c319de84
2024-04-05,Kallada,0.1897,0.9902,0.198,12.6,18,,,2,1,2,official_observed_reference,a2d60470b4237965d7090561348f280c7789806f672472d841f5d939c319de84
2024-04-05,Malankara,0.1179,0.5387,0.1077,6,11,,,2,2,2,official_observed_reference,a2d60470b4237965d7090561348f280c7789806f672472d841f5d939c319de84
2024-04-05,Maniyar,0.094,0.404,0.0808,,,,,3,2,2,official_observed_reference,a2d60470b4237965d7090561348f280c7789806f672472d841f5d939c319de84
2024-04-05,Kuthungal,0.2054,1.0505,0.2101,11.2,18,,,3,2,2,official_observed_reference,a2d60470b4237965d7090561348f280c7789806f672472d841f5d939c319de84
2024-04-06,Idukki,9.129,51.937,8.6562,618,22,,1,5,5,5,official_observed_reference,9c8a11a3d8a40acfc8692704bb1747dfa073cac49a22d88adafcc5a004bc8608
2024-04-06,Sabarigiri,5.2308,33.8541,5.6424,301,1,,,6,6,6,official_observed_reference,9c8a11a3d8a40acfc8692704bb1747dfa073cac49a22d88adafcc5a004bc8608
2024-04-06,Idamalayar,1.1294,6.8511,1.1419,61.8,,,,2,2,2,official_observed_reference,9c8a11a3d8a40acfc8692704bb1747dfa073cac49a22d88adafcc5a004bc8608
2024-04-06,Sholayar,0.8296,5.3257,0.8876,54.6,21,,,3,2,3,official_observed_reference,9c8a11a3d8a40acfc8692704bb1747dfa073cac49a22d88adafcc5a004bc8608
2024-04-06,Pallivasal,0.4861,2.9059,0.4843,20.4,3,,2,4,4,4,official_observed_reference,9c8a11a3d8a40acfc8692704bb1747dfa073cac49a22d88adafcc5a004bc8608
2024-04-06,Kuttiadi,1.8598,11.5759,1.9293,194,22,1,,5,,5,official_observed_reference,9c8a11a3d8a40acfc8692704bb1747dfa073cac49a22d88adafcc5a004bc8608
2024-04-06,Panniar,0.5405,2.8148,0.4691,30.6,1,,,2,2,2,official_observed_reference,9c8a11a3d8a40acfc8692704bb1747dfa073cac49a22d88adafcc5a004bc8608
2024-04-06,Neriamangalam,0.443,2.9201,0.4867,60.6,,1,,3,,1,official_observed_reference,9c8a11a3d8a40acfc8692704bb1747dfa073cac49a22d88adafcc5a004bc8608
2024-04-06,Lower Periyar,0.688,3.779,0.6298,156,22,,,3,,1,official_observed_reference,9c8a11a3d8a40acfc8692704bb1747dfa073cac49a22d88adafcc5a004bc8608
2024-04-06,"Poringalkuthu, PLBE",0.4392,2.5792,0.4299,51.56,22,,,6,1,1,official_observed_reference,9c8a11a3d8a40acfc8692704bb1747dfa073cac49a22d88adafcc5a004bc8608
2024-04-06,Sengulam,0.2177,1.8534,0.3089,51.2,23,,,4,,2,official_observed_reference,9c8a11a3d8a40acfc8692704bb1747dfa073cac49a22d88adafcc5a004bc8608
2024-04-06,Kakkad,0.6841,4.5506,0.7584,35.76,1,,,2,2,2,official_observed_reference,9c8a11a3d8a40acfc8692704bb1747dfa073cac49a22d88adafcc5a004bc8608
2024-04-06,Kallada,0.1964,1.1866,0.1978,12.4,7,,,2,2,2,official_observed_reference,9c8a11a3d8a40acfc8692704bb1747dfa073cac49a22d88adafcc5a004bc8608
2024-04-06,Malankara,0.1173,0.656,0.1093,6,9,,,2,2,2,official_observed_reference,9c8a11a3d8a40acfc8692704bb1747dfa073cac49a22d88adafcc5a004bc8608
2024-04-06,Maniyar,0.0812,0.4852,0.0809,,,,,3,2,2,official_observed_reference,9c8a11a3d8a40acfc8692704bb1747dfa073cac49a22d88adafcc5a004bc8608
2024-04-06,Kuthungal,0.2043,1.2548,0.2091,11,18,,,3,2,2,official_observed_reference,9c8a11a3d8a40acfc8692704bb1747dfa073cac49a22d88adafcc5a004bc8608
2024-04-07,Idukki,6.784,58.721,8.3887,608,,,1,5,,4,official_observed_reference,c0ac07ead6b75e55972c604fb39421dd46135b6134c7158396faf1c5b585ac3b
2024-04-07,Sabarigiri,4.4377,38.2918,5.4703,301.8,,,,6,,6,official_observed_reference,c0ac07ead6b75e55972c604fb39421dd46135b6134c7158396faf1c5b585ac3b
2024-04-07,Idamalayar,0.816,7.6671,1.0953,62.6,1,,,2,1,2,official_observed_reference,c0ac07ead6b75e55972c604fb39421dd46135b6134c7158396faf1c5b585ac3b
2024-04-07,Sholayar,0.8306,6.1563,0.8795,54.6,5,,,3,2,3,official_observed_reference,c0ac07ead6b75e55972c604fb39421dd46135b6134c7158396faf1c5b585ac3b
2024-04-07,Pallivasal,0.4849,3.3908,0.4844,20.4,3,,2,4,1,4,official_observed_reference,c0ac07ead6b75e55972c604fb39421dd46135b6134c7158396faf1c5b585ac3b
2024-04-07,Kuttiadi,1.4608,13.0367,1.8624,187.2,22,1,,5,1,5,official_observed_reference,c0ac07ead6b75e55972c604fb39421dd46135b6134c7158396faf1c5b585ac3b
2024-04-07,Panniar,0.6369,3.4517,0.4931,30.4,,,,2,2,2,official_observed_reference,c0ac07ead6b75e55972c604fb39421dd46135b6134c7158396faf1c5b585ac3b
2024-04-07,Neriamangalam,0.6287,3.5488,0.507,60.2,,1,,3,1,2,official_observed_reference,c0ac07ead6b75e55972c604fb39421dd46135b6134c7158396faf1c5b585ac3b
2024-04-07,Lower Periyar,0.341,4.12,0.5886,154,,,,3,,,official_observed_reference,c0ac07ead6b75e55972c604fb39421dd46135b6134c7158396faf1c5b585ac3b
2024-04-07,"Poringalkuthu, PLBE",0.3209,2.9001,0.4143,51.54,,,,6,2,1,official_observed_reference,c0ac07ead6b75e55972c604fb39421dd46135b6134c7158396faf1c5b585ac3b
2024-04-07,Sengulam,0.3363,2.1897,0.3128,50.8,,,,4,4,2,official_observed_reference,c0ac07ead6b75e55972c604fb39421dd46135b6134c7158396faf1c5b585ac3b
2024-04-07,Kakkad,0.597,5.1476,0.7354,36.3,6,,,2,2,2,official_observed_reference,c0ac07ead6b75e55972c604fb39421dd46135b6134c7158396faf1c5b585ac3b
2024-04-07,Kallada,0.1996,1.3862,0.198,13.6,5,,,2,2,2,official_observed_reference,c0ac07ead6b75e55972c604fb39421dd46135b6134c7158396faf1c5b585ac3b
2024-04-07,Malankara,0.1023,0.7583,0.1083,5.4,3,,,2,2,1,official_observed_reference,c0ac07ead6b75e55972c604fb39421dd46135b6134c7158396faf1c5b585ac3b
2024-04-07,Maniyar,0.0574,0.5426,0.0775,,,,,3,,,official_observed_reference,c0ac07ead6b75e55972c604fb39421dd46135b6134c7158396faf1c5b585ac3b
2024-04-07,Kuthungal,0.2026,1.4574,0.2082,10.8,6,,,3,,,official_observed_reference,c0ac07ead6b75e55972c604fb39421dd46135b6134c7158396faf1c5b585ac3b
2024-04-08,Idukki,7.568,66.289,8.2861,612,23,,1,5,4,5,official_observed_reference,26427c2cf1942b034fe5525e0c1ff8cc008aa06a830326fca6a57f7d84af3f34
2024-04-08,Sabarigiri,6.0133,44.3051,5.5381,301.8,21,,,6,6,6,official_observed_reference,26427c2cf1942b034fe5525e0c1ff8cc008aa06a830326fca6a57f7d84af3f34
2024-04-08,Idamalayar,1.181,8.8481,1.106,60.4,,,,2,2,2,official_observed_reference,26427c2cf1942b034fe5525e0c1ff8cc008aa06a830326fca6a57f7d84af3f34
2024-04-08,Sholayar,0.9538,7.1101,0.8888,54.6,19,,,3,2,3,official_observed_reference,26427c2cf1942b034fe5525e0c1ff8cc008aa06a830326fca6a57f7d84af3f34
2024-04-08,Pallivasal,0.4848,3.8756,0.4845,20.4,8,,2,4,4,4,official_observed_reference,26427c2cf1942b034fe5525e0c1ff8cc008aa06a830326fca6a57f7d84af3f34
2024-04-08,Kuttiadi,1.643,14.6797,1.835,191.4,,1,,5,,5,official_observed_reference,26427c2cf1942b034fe5525e0c1ff8cc008aa06a830326fca6a57f7d84af3f34
2024-04-08,Panniar,0.4114,3.8631,0.4829,30.4,,,,2,,2,official_observed_reference,26427c2cf1942b034fe5525e0c1ff8cc008aa06a830326fca6a57f7d84af3f34
2024-04-08,Neriamangalam,0.3282,3.877,0.4846,48.8,23,1,,3,,3,official_observed_reference,26427c2cf1942b034fe5525e0c1ff8cc008aa06a830326fca6a57f7d84af3f34
2024-04-08,Lower Periyar,0.605,4.725,0.5906,154,22,,,3,,3,official_observed_reference,26427c2cf1942b034fe5525e0c1ff8cc008aa06a830326fca6a57f7d84af3f34
2024-04-08,"Poringalkuthu, PLBE",0.4436,3.3436,0.418,51.16,22,,,6,1,6,official_observed_reference,26427c2cf1942b034fe5525e0c1ff8cc008aa06a830326fca6a57f7d84af3f34
2024-04-08,Sengulam,0.3569,2.5466,0.3183,51,22,,,4,1,4,official_observed_reference,26427c2cf1942b034fe5525e0c1ff8cc008aa06a830326fca6a57f7d84af3f34
2024-04-08,Kakkad,0.7909,5.9385,0.7423,36.94,3,,,2,2,2,official_observed_reference,26427c2cf1942b034fe5525e0c1ff8cc008aa06a830326fca6a57f7d84af3f34
2024-04-08,Kallada,0.1972,1.5834,0.1979,12.2,6,,,2,2,2,official_observed_reference,26427c2cf1942b034fe5525e0c1ff8cc008aa06a830326fca6a57f7d84af3f34
2024-04-08,Malankara,0.0774,0.8357,0.1045,4.8,8,,,2,2,2,official_observed_reference,26427c2cf1942b034fe5525e0c1ff8cc008aa06a830326fca6a57f7d84af3f34
2024-04-08,Maniyar,0.0852,0.6277,0.0785,,,,,3,2,2,official_observed_reference,26427c2cf1942b034fe5525e0c1ff8cc008aa06a830326fca6a57f7d84af3f34
2024-04-08,Kuthungal,0.1986,1.656,0.207,10.4,19,,,3,1,2,official_observed_reference,26427c2cf1942b034fe5525e0c1ff8cc008aa06a830326fca6a57f7d84af3f34
2024-04-09,Idukki,7.184,73.473,8.1637,616,22,,1,5,1,5,official_observed_reference,c8db897526213dd032c891f93ab5e0885cee2c008c6489ff4f2418fca189190c
2024-04-09,Sabarigiri,6.0326,50.3377,5.5931,301,16,,,6,5,6,official_observed_reference,c8db897526213dd032c891f93ab5e0885cee2c008c6489ff4f2418fca189190c
2024-04-09,Idamalayar,1.2361,10.0842,1.1205,60.8,23,,,2,2,2,official_observed_reference,c8db897526213dd032c891f93ab5e0885cee2c008c6489ff4f2418fca189190c
2024-04-09,Sholayar,1.0156,8.1257,0.9029,54.6,2,,,3,2,3,official_observed_reference,c8db897526213dd032c891f93ab5e0885cee2c008c6489ff4f2418fca189190c
2024-04-09,Pallivasal,0.4866,4.3622,0.4847,20.4,1,,2,4,4,4,official_observed_reference,c8db897526213dd032c891f93ab5e0885cee2c008c6489ff4f2418fca189190c
2024-04-09,Kuttiadi,1.9479,16.6276,1.8475,188.8,23,1,,5,,5,official_observed_reference,c8db897526213dd032c891f93ab5e0885cee2c008c6489ff4f2418fca189190c
2024-04-09,Panniar,0.4643,4.3274,0.4808,30.4,,,,2,,2,official_observed_reference,c8db897526213dd032c891f93ab5e0885cee2c008c6489ff4f2418fca189190c
2024-04-09,Neriamangalam,0.4307,4.3077,0.4786,61,21,1,,3,,3,official_observed_reference,c8db897526213dd032c891f93ab5e0885cee2c008c6489ff4f2418fca189190c
2024-04-09,Lower Periyar,0.523,5.248,0.5831,160,23,,,3,,3,official_observed_reference,c8db897526213dd032c891f93ab5e0885cee2c008c6489ff4f2418fca189190c
2024-04-09,"Poringalkuthu, PLBE",0.3648,3.7084,0.412,43.02,22,,,6,1,5,official_observed_reference,c8db897526213dd032c891f93ab5e0885cee2c008c6489ff4f2418fca189190c
2024-04-09,Sengulam,0.3298,2.8764,0.3196,50.8,22,,,4,,4,official_observed_reference,c8db897526213dd032c891f93ab5e0885cee2c008c6489ff4f2418fca189190c
2024-04-09,Kakkad,0.8255,6.7639,0.7515,36.84,1,,,2,2,2,official_observed_reference,c8db897526213dd032c891f93ab5e0885cee2c008c6489ff4f2418fca189190c
2024-04-09,Kallada,0.1685,1.7519,0.1947,11.8,6,,,2,,2,official_observed_reference,c8db897526213dd032c891f93ab5e0885cee2c008c6489ff4f2418fca189190c
2024-04-09,Malankara,0.0987,0.9344,0.1038,5.4,2,,,2,2,2,official_observed_reference,c8db897526213dd032c891f93ab5e0885cee2c008c6489ff4f2418fca189190c
2024-04-09,Maniyar,0.0918,0.7195,0.0799,,,,,3,1,2,official_observed_reference,c8db897526213dd032c891f93ab5e0885cee2c008c6489ff4f2418fca189190c
2024-04-09,Kuthungal,0.194,1.85,0.2056,9,18,,,3,2,2,official_observed_reference,c8db897526213dd032c891f93ab5e0885cee2c008c6489ff4f2418fca189190c
2024-04-10,Idukki,6.03,79.503,7.9503,576,,,2,4,3,4,official_observed_reference,20e47e49a7c0e6975e4197df5d772e0ec52401903616b09a9946a8ad9ea36172
2024-04-10,Sabarigiri,3.8651,54.2028,5.4203,302,23,,,6,4,6,official_observed_reference,20e47e49a7c0e6975e4197df5d772e0ec52401903616b09a9946a8ad9ea36172
2024-04-10,Idamalayar,1.0061,11.0903,1.109,59.8,4,,,2,2,2,official_observed_reference,20e47e49a7c0e6975e4197df5d772e0ec52401903616b09a9946a8ad9ea36172
2024-04-10,Sholayar,0.7467,8.8724,0.8872,54.6,23,,,3,2,3,official_observed_reference,20e47e49a7c0e6975e4197df5d772e0ec52401903616b09a9946a8ad9ea36172
2024-04-10,Pallivasal,0.4664,4.8286,0.4829,20.4,1,,2,4,4,4,official_observed_reference,20e47e49a7c0e6975e4197df5d772e0ec52401903616b09a9946a8ad9ea36172
2024-04-10,Kuttiadi,1.5074,18.135,1.8135,192.4,,1,,5,,3,official_observed_reference,20e47e49a7c0e6975e4197df5d772e0ec52401903616b09a9946a8ad9ea36172
2024-04-10,Panniar,0.298,4.6254,0.4625,30.2,,,,2,,,official_observed_reference,20e47e49a7c0e6975e4197df5d772e0ec52401903616b09a9946a8ad9ea36172
2024-04-10,Neriamangalam,0.2674,4.5751,0.4575,60.8,,1,,3,,,official_observed_reference,20e47e49a7c0e6975e4197df5d772e0ec52401903616b09a9946a8ad9ea36172
